City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
84,Carballo,90,ES,1601128936,100,43.21,-8.69,60.8,11.41
85,São Félix do Xingu,91,BR,1601128834,45,-6.64,-51.99,91.69,3.49
86,Bredasdorp,50,ZA,1601128609,38,-34.53,20.04,60.8,18.34
87,Jamestown,1,US,1601128234,93,42.1,-79.24,59.0,8.05
88,Hobyo,61,SO,1601128846,78,5.35,48.53,78.51,25.12
89,Chokurdakh,0,RU,1601128847,76,70.63,147.92,37.6,9.86
90,Guangming,32,CN,1601128997,72,45.33,122.78,62.31,12.15
91,Asău,75,RO,1601128998,90,46.43,26.4,66.99,8.57
92,Puri,40,IN,1601128998,94,19.8,85.85,82.4,5.82
93,Muroto-misakicho,100,JP,1601128998,75,33.28,134.15,74.21,4.23
94,Lincoln,64,US,1601128703,78,40.8,-96.67,71.01,5.01
95,Albany,2,US,1601128649,82,42.6,-73.97,63.0,5.82
96,Sucúa,20,EC,1601128999,77,-2.47,-78.17,68.0,1.12
97,Cape Town,40,ZA,1601128828,47,-33.93,18.42,60.01,10.29
98,Shelburne,1,CA,1601128896,100,44.08,-80.2,63.0,4.7
99,Bima,100,ID,1601128999,83,-8.47,118.72,77.43,4.97
100,Iqaluit,75,CA,1601128868,86,63.75,-68.51,26.6,16.11
101,Port Blair,42,IN,1601129000,80,11.67,92.75,82.24,11.54
102,Ak-Dovurak,6,RU,1601129000,59,51.18,90.6,40.48,1.41
103,Puerto Ayora,77,EC,1601128495,79,-0.74,-90.35,67.5,9.01
104,New Amsterdam,25,GY,1601129000,53,6.25,-57.52,90.0,4.88
105,Bathsheba,40,BB,1601128840,62,13.22,-59.52,89.6,18.34
106,Prince Rupert,90,CA,1601128787,93,54.32,-130.32,50.0,3.36
107,Tasiilaq,75,GL,1601128494,93,65.61,-37.64,35.6,6.93
108,Comodoro Rivadavia,0,AR,1601128925,29,-45.87,-67.5,62.6,14.99
109,Tokur,11,RU,1601129001,93,53.13,132.9,43.23,2.75
110,Swift Current,1,CA,1601128807,66,50.28,-107.8,48.2,21.92
111,Coquimbo,75,CL,1601129001,67,-29.95,-71.34,57.2,8.05
112,Lüderitz,0,NA,1601129002,50,-26.65,15.16,62.65,31.09
113,Bambous Virieux,20,MU,1601128845,57,-20.34,57.76,75.2,12.75
114,Horki,5,BY,1601129002,40,54.29,30.98,71.6,15.66
115,Faanui,33,PF,1601128950,79,-16.48,-151.75,77.97,13.51
116,Tuatapere,45,NZ,1601128648,90,-46.13,167.68,46.0,5.99
117,Mossamedes,30,AO,1601128819,70,-15.2,12.15,68.27,12.26
118,Arrondissement de Bergerac,100,FR,1601129003,93,44.83,0.5,54.0,4.7
119,Yaan,97,NG,1601128897,88,7.38,8.57,76.39,3.33
120,Klaksvík,0,FO,1601128832,71,62.23,-6.59,50.0,10.29
121,Butaritari,52,KI,1601128815,74,3.07,172.79,81.57,12.88
122,Redmond,40,US,1601128896,99,47.67,-122.12,55.0,4.83
123,Nioro,98,GM,1601129003,70,13.35,-15.75,88.7,5.86
124,Hualmay,14,PE,1601129004,72,-11.1,-77.61,64.36,9.42
125,Palmer,90,US,1601128703,82,42.16,-72.33,66.0,4.25
126,Thompson,75,CA,1601128498,100,55.74,-97.86,44.6,6.93
127,Valle del Guamuez,1,CO,1601129004,73,0.45,-76.92,77.0,4.7
128,Ponta do Sol,75,PT,1601128825,69,32.67,-17.1,75.0,16.11
129,Petropavlovsk-Kamchatskiy,0,RU,1601128917,86,53.05,158.65,33.8,4.47
130,Yangi Marg`ilon,100,UZ,1601128942,30,40.43,71.72,69.8,4.7
131,Camacha,75,PT,1601128891,60,33.08,-16.33,73.4,17.22
132,Fortuna,90,US,1601128694,100,40.6,-124.16,62.01,3.58
133,Olafsvik,100,IS,1601128656,95,64.89,-23.71,47.59,15.5
134,Gravdal,3,NO,1601128928,62,68.12,13.5,43.97,10.4
135,Kikwit,93,CD,1601129005,61,-5.04,18.82,83.19,0.74
136,Puerto Colombia,75,CO,1601129006,88,10.99,-74.95,82.4,2.24
137,Maputo,0,MZ,1601129006,57,-25.97,32.59,77.0,20.8
138,Rocha,100,UY,1601129006,79,-34.48,-54.33,62.1,12.03
139,Ossora,95,RU,1601128820,75,59.24,163.07,39.47,7.49
140,Turan,20,VN,1601128902,74,16.07,108.22,84.2,2.24
141,Gamboma,95,CG,1601129007,56,-1.88,15.86,87.13,5.08
142,San Severo,75,IT,1601128824,52,41.69,15.38,69.8,10.29
143,Moorhead,90,US,1601129007,71,46.87,-96.77,60.8,3.36
144,Zaysan,5,KZ,1601128890,66,47.47,84.87,41.5,5.55
145,Esim,68,GH,1601128708,77,4.87,-2.24,79.47,10.11
146,Šenčur,75,SI,1601129008,58,46.25,14.42,60.01,2.24
147,San Fernando,90,PH,1601129008,88,15.03,120.69,78.8,4.7
148,Gladstone,0,AU,1601128814,88,-23.85,151.25,64.4,4.7
149,Port Lincoln,84,AU,1601128790,65,-34.73,135.87,48.78,3.51
150,Castro,3,BR,1601128614,31,-24.79,-50.01,83.28,8.1
151,Tual,88,ID,1601129009,87,-5.67,132.75,80.33,14.72
152,Tiznit Province,4,MA,1601129009,26,29.58,-9.5,84.81,10.25
153,Arraial do Cabo,20,BR,1601128859,78,-22.97,-42.03,80.6,17.22
154,Hof,75,DE,1601129009,93,50.32,11.92,46.0,8.05
155,Katsuura,100,JP,1601128777,94,35.13,140.3,68.0,5.01
156,Takhtamygda,67,RU,1601129010,90,54.1,123.57,53.29,11.77
157,Lebu,7,CL,1601128856,60,-37.62,-73.65,53.58,1.16
158,Inta,98,RU,1601129010,84,66.03,60.17,54.09,17.69
159,Qaanaaq,84,GL,1601128823,79,77.48,-69.36,13.8,6.89
160,Brookings,1,US,1601129010,87,44.31,-96.8,57.99,5.82
161,West Monroe,90,US,1601128849,94,32.52,-92.15,68.0,3.36
162,Isangel,6,VU,1601128826,87,-19.55,169.27,73.8,8.59
163,Lompoc,90,US,1601128912,100,34.64,-120.46,53.6,4.7
164,Esna,0,EG,1601128894,24,25.29,32.55,102.2,4.7
165,Rovaniemi,90,FI,1601129011,100,66.5,25.72,42.8,9.17
166,Ishigaki,100,JP,1601129012,75,24.34,124.16,79.83,19.57
167,Hasaki,75,JP,1601128866,100,35.73,140.83,64.4,9.17
168,Bharatpur,75,IN,1601129012,69,27.22,77.48,82.4,6.93
169,Mataram,40,ID,1601129012,78,-8.58,116.12,80.6,10.29
170,Arlit,0,NE,1601128936,8,18.74,7.39,101.8,7.27
171,Southbridge,0,US,1601129013,91,42.08,-72.03,63.0,1.99
172,Bandarbeyla,0,SO,1601128939,78,9.49,50.81,78.1,29.46
173,Chita,79,RU,1601129013,70,52.03,113.55,42.8,8.95
174,Iquitos,75,PE,1601129014,83,-3.75,-73.25,77.0,12.75
175,Westport,40,US,1601128595,88,41.14,-73.36,69.01,6.93
176,Vardø,100,NO,1601128849,70,70.37,31.11,44.6,2.24
